Descripción;ene-23;feb-23;mar-23;Total
        ZANELLA PATAGONIAN EAGLE 350;1;;;1
        ZANELLA PONDEROSA;1;;;1
        ZANELLA RB 200;;;1;1
        ZANELLA RX 150 NEXT;;1;;1
        ZANELLA RZ 25;1;;;1
        ZANELLA TURISMO;1;;;1
        ZANELLA V3;1;;;1
        ZANELLA ZANELLA ESPECIAL;1;;;1
Subtotal: ZANELLA;4.324;3.664;5.019;13.007
;;;;
GILERA;;;;
        GILERA SMASH;2.231;2.437;4.140;8.808
        GILERA SAHEL 150;172;175;263;610
        GILERA VC 150;166;145;259;570
        GILERA SMX 200;130;124;213;467
        GILERA VOGE 500DS;51;35;77;163
        GILERA SMX 250;36;55;48;139
        GILERA SG 150;26;32;71;129
        GILERA VOGE 650DS;50;29;45;124
        GILERA AC4;22;24;49;95
        GILERA VOGE 300DS;46;25;23;94
        GILERA VOGE 300AC;18;27;38;83
        GILERA VOGE 300 RALLY;;25;23;48
        GILERA VOGE 300;23;9;13;45
        GILERA VOGE 500R;23;11;11;45
        GILERA VC 200 R;14;12;13;39
        GILERA GX1;10;12;16;38
        GILERA VC 70;8;3;21;32
        GILERA EG2;2;2;2;6
        GILERA YL 200;2;1;2;5
        GILERA SUPER SPORT;2;1;;3
        GILERA EXTRA;;;2;2
        GILERA FUTURA;1;;1;2
        GILERA SUPER SPORT 150;1;1;;2
        GILERA 1970;;1;;1
        GILERA EXTRA 200;;1;;1
        GILERA G150 SUPER SPORT;1;;;1
        GILERA GILERA 200;;;1;1
        GILERA GT200;;1;;1
        GILERA MACHO;1;;;1
        GILERA MONOSHOCK;;1;;1
        GILERA SPORT;;1;;1
        GILERA SPRING 200;1;;;1
        GILERA SPRING COUNTRY TC;1;;;1
        GILERA SPRINT COUNTRY;1;;;1
        GILERA VC150 SUPER SPORT;;;1;1
Subtotal: GILERA;3.039;3.190;5.332;11.561
;;;;
BAJAJ;;;;
        BAJAJ ROUSER 200;883;726;1.026;2.635
        BAJAJ ROUSER NS 125;690;544;582;1.816
        BAJAJ DOMINAR D400;398;299;416;1.113
        BAJAJ ROUSER NS 160;298;253;203;754
        BAJAJ DOMINAR 250;246;207;185;638
        BAJAJ BOXER BM 150;134;135;134;403
        BAJAJ ROUSER RS 200;2;10;6;18
        BAJAJ ROUSER NS 200 FI ABS;2;3;5;10
        BAJAJ AVENGER 220;5;2;2;9
        BAJAJ V15;;2;5;7
        BAJAJ ROUSER 135;;3;2;5
        BAJAJ 150;;;1;1
        BAJAJ DISCOVER 125;1;;;1
        BAJAJ ROUSER 220;;;1;1
Subtotal: BAJAJ;2.659;2.184;2.568;7.411
;;;;
MONDIAL;;;;
        MONDIAL LD 110 MAX-RT;782;453;345;1.580
        MONDIAL LD 110 MAX-AD;462;342;569;1.373
        MONDIAL LD 110-RT;150;315;697;1.162
        MONDIAL LD 110 S;249;298;352;899
        MONDIAL TD150L;135;119;111;365
        MONDIAL RD 150N-RT;111;80;112;303
        MONDIAL DAX 70;64;54;92;210
        MONDIAL RD 150N-AD;58;43;58;159
        MONDIAL TD 250;24;17;23;64
        MONDIAL RD 150 CLASSIC;19;15;24;58
        MONDIAL MD 150;16;10;25;51
        MONDIAL MD 150 ALLEGRO;10;19;21;50
        MONDIAL RV 125;6;7;7;20
        MONDIAL HD 250;9;6;4;19
        MONDIAL W150;6;4;9;19
        MONDIAL HD 150;;1;8;9
        MONDIAL LD 110-AD;2;3;;5
        MONDIAL RD150 H;;1;1;2
Subtotal: MONDIAL;2.103;1.787;2.458;6.348
;;;;
KELLER;;;;
